trial,prob,p,P,S,alpha,lambda
0,0,0.1,70,0,2,0.5
1,0.049999997159562604,0.1,70,0,2,0.5
2,0.09749998788287761,0.1,70,0,2,0.5
3,0.14262496100356103,0.1,70,0,2,0.5
4,0.18549364116650058,0.1,70,0,2,0.5
5,0.2262187887630931,0.1,70,0,2,0.5
6,0.2649074772831921,0.1,70,0,2,0.5
7,0.30166134716725157,0.1,70,0,2,0.5
8,0.33657683545896133,0.1,70,0,2,0.5
9,0.3697453808821203,0.1,70,0,2,0.5
10,0.4012536043710625,0.1,70,0,2,0.5
11,0.4311834656426703,0.1,70,0,2,0.5
12,0.4596123973384564,0.1,70,0,2,0.5
13,0.4866134200261588,0.1,70,0,2,0.5
14,0.5122552445833586,0.1,70,0,2,0.5
15,0.5366023738997712,0.1,70,0,2,0.5
16,0.559715223719271,0.1,70,0,2,0.5
17,0.581650291816997,0.1,70,0,2,0.5
18,0.6024604124725823,0.1,70,0,2,0.5
19,0.6221951341749092,0.1,70,0,2,0.5
20,0.6409012471266611,0.1,70,0,2,0.5
21,0.658623460642183,0.1,70,0,2,0.5
22,0.6754051919264774,0.1,70,0,2,0.5
23,0.6912893863820644,0.1,70,0,2,0.5
24,0.7063192587046019,0.1,70,0,2,0.5
25,0.7205388355896922,0.1,70,0,2,0.5
26,0.7339932006928138,0.1,70,0,2,0.5
27,0.746728387616864,0.1,70,0,2,0.5
28,0.7587909263745424,0.1,70,0,2,0.5
29,0.7702271081853207,0.1,70,0,2,0.5
30,0.781082078668191,0.1,70,0,2,0.5
31,0.7913988913863251,0.1,70,0,2,0.5
32,0.8012176499359729,0.1,70,0,2,0.5
33,0.8105748412988324,0.1,70,0,2,0.5
34,0.8195029241161567,0.1,70,0,2,0.5
35,0.8280301924017851,0.1,70,0,2,0.5
36,0.8361808964000308,0.1,70,0,2,0.5
37,0.843975573536059,0.1,70,0,2,0.5
38,0.8514315262033951,0.1,70,0,2,0.5
39,0.8585633791092034,0.1,70,0,2,0.5
40,0.8653836546648446,0.1,70,0,2,0.5
41,0.8719033170915966,0.1,70,0,2,0.5
42,0.8781322510501044,0.1,70,0,2,0.5
43,0.8840796557832733,0.1,70,0,2,0.5
44,0.8897543489375921,0.1,70,0,2,0.5
45,0.8951649842702027,0.1,70,0,2,0.5
46,0.9003201940288356,0.1,70,0,2,0.5
47,0.9052286701620407,0.1,70,0,2,0.5
48,0.9098991992804869,0.1,70,0,2,0.5
49,0.9143406651941319,0.1,70,0,2,0.5
50,0.9185620306353443,0.1,70,0,2,0.5
51,0.9225723070819843,0.1,70,0,2,0.5
52,0.9263805189042585,0.1,70,0,2,0.5
53,0.9299956657017474,0.1,70,0,2,0.5
54,0.9334266848523451,0.1,70,0,2,0.5
55,0.9366824150224257,0.1,70,0,2,0.5
56,0.9397715606574356,0.1,70,0,2,0.5
57,0.942702657195731,0.1,70,0,2,0.5
58,0.9454840368059375,0.1,70,0,2,0.5
59,0.9481237947108042,0.1,70,0,2,0.5
60,0.9506297565082977,0.1,70,0,2,0.5
61,0.9530094472337987,0.1,70,0,2,0.5
62,0.9552700631532056,0.1,70,0,2,0.5
63,0.9574184473926735,0.1,70,0,2,0.5
64,0.9594610704820161,0.1,70,0,2,0.5
65,0.9614040167249212,0.1,70,0,2,0.5
66,0.9632529770373865,0.1,70,0,2,0.5
67,0.9650132485544283,0.1,70,0,2,0.5
68,0.9666897409364219,0.1,70,0,2,0.5
69,0.9682869889507119,0.1,70,0,2,0.5
70,0.9698091705950802,0.1,70,0,2,0.5
71,0.9712601297915392,0.1,70,0,2,0.5
72,0.972643402525246,0.1,70,0,2,0.5
73,0.9739622452372751,0.1,70,0,2,0.5
74,0.9752196642957847,0.1,70,0,2,0.5
75,0.9764184454552971,0.1,70,0,2,0.5
76,0.9775611823517771,0.1,70,0,2,0.5
77,0.978650303253596,0.1,70,0,2,0.5
78,0.9796880954774884,0.1,70,0,2,0.5
79,0.9806767270684557,0.1,70,0,2,0.5
80,0.981618265520642,0.1,70,0,2,0.5
81,0.9825146934734799,0.1,70,0,2,0.5
82,0.9833679214484946,0.1,70,0,2,0.5
83,0.9841797977948752,0.1,70,0,2,0.5
84,0.9849521160867024,0.1,70,0,2,0.5
85,0.9856866202639034,0.1,70,0,2,0.5
86,0.9863850078360515,0.1,70,0,2,0.5
