M,C,nguesses,p,auc
16,1,1,0.1,89.363
16,1,1,0.2,94.56
16,1,1,0.3,96.178
16,1,1,0.4,97.002
16,1,1,0.5,97.482
16,1,1,0.6,97.807
16,1,1,0.7,98.046
16,1,1,0.8,98.26899999999999
16,1,1,0.9,98.393
16,1,1,1,98.5
16,2,1,0.1,79.57723169508526
16,2,1,0.2,89.794
16,2,1,0.3,92.737
16,2,1,0.4,94.573
16,2,1,0.5,95.56700000000001
16,2,1,0.6,96
16,2,1,0.7,96.57
16,2,1,0.8,96.876
16,2,1,0.9,97.241
16,2,1,1,97.451
16,2,2,0.1,88.736
16,2,2,0.2,94.359
16,2,2,0.3,95.762
16,2,2,0.4,96.459
16,2,2,0.5,96.968
16,2,2,0.6,97.162
16,2,2,0.7,97.295
16,2,2,0.8,97.361
16,2,2,0.9,97.391
16,2,2,1,97.423
16,4,1,0.1,68.18927789934355
16,4,1,0.2,79.391809908999
16,4,1,0.3,86.12762762762763
16,4,1,0.4,89.123
16,4,1,0.5,90.453
16,4,1,0.6,92.362
16,4,1,0.7,93.214
16,4,1,0.8,93.739
16,4,1,0.9,94.384
16,4,1,1,94.726
16,4,2,0.1,79.642
16,4,2,0.2,88.25
16,4,2,0.3,91.812
16,4,2,0.4,93.201
16,4,2,0.5,94.167
16,4,2,0.6,94.774
16,4,2,0.7,95.143
16,4,2,0.8,95.412
16,4,2,0.9,95.567
16,4,2,1,95.725
16,4,3,0.1,85.547
16,4,3,0.2,92.08
16,4,3,0.3,93.656
16,4,3,0.4,94.559
16,4,3,0.5,95.25
16,4,3,0.6,95.775
16,4,3,0.7,96.008
16,4,3,0.8,96.17
16,4,3,0.9,96.309
16,4,3,1,96.514
16,4,4,0.1,88.242
16,4,4,0.2,93.219
16,4,4,0.3,94.8
16,4,4,0.4,95.346
16,4,4,0.5,95.886
16,4,4,0.6,96.205
16,4,4,0.7,96.439
16,4,4,0.8,96.549
16,4,4,0.9,96.727
16,4,4,1,96.794
16,8,1,0.1,60.581428571428575
16,8,1,0.2,65.97949886104784
16,8,1,0.3,71.8389651531151
16,8,1,0.4,75.45598771750255
16,8,1,0.5,78.3412537917088
16,8,1,0.6,80.60865191146881
16,8,1,0.7,82.32730923694778
16,8,1,0.8,83.40480961923848
16,8,1,0.9,85.078
16,8,1,1,85.67117117117117
16,8,2,0.1,66.96792035398231
16,8,2,0.2,75.41131498470948
16,8,2,0.3,80.70344129554655
16,8,2,0.4,83.03507014028057
16,8,2,0.5,86.04308617234469
16,8,2,0.6,85.533
16,8,2,0.7,87.523
16,8,2,0.8,88.446
16,8,2,0.9,88.725
16,8,2,1,88.947
16,8,3,0.1,71.17223382045928
16,8,3,0.2,80.67706237424548
16,8,3,0.3,84.06956956956957
16,8,3,0.4,86.80230230230231
16,8,3,0.5,87.932
16,8,3,0.6,88.556
16,8,3,0.7,89.816
16,8,3,0.8,90.605
16,8,3,0.9,90.908
16,8,3,1,91.399
16,8,4,0.1,75.46322778345251
