trial,p,M,C,nguesses,prob
1,0.1,16,1,1,0
2,0.1,16,1,1,0.075
3,0.1,16,1,1,0.159
4,0.1,16,1,1,0.248
5,0.1,16,1,1,0.322
6,0.1,16,1,1,0.379
7,0.1,16,1,1,0.437
8,0.1,16,1,1,0.484
9,0.1,16,1,1,0.529
10,0.1,16,1,1,0.569
11,0.1,16,1,1,0.612
12,0.1,16,1,1,0.652
13,0.1,16,1,1,0.6859999999999999
14,0.1,16,1,1,0.713
15,0.1,16,1,1,0.74
16,0.1,16,1,1,0.763
17,0.1,16,1,1,0.79
18,0.1,16,1,1,0.806
19,0.1,16,1,1,0.826
20,0.1,16,1,1,0.839
21,0.1,16,1,1,0.853
22,0.1,16,1,1,0.871
23,0.1,16,1,1,0.88
24,0.1,16,1,1,0.892
25,0.1,16,1,1,0.903
26,0.1,16,1,1,0.916
27,0.1,16,1,1,0.927
28,0.1,16,1,1,0.9329999999999999
29,0.1,16,1,1,0.944
30,0.1,16,1,1,0.95
31,0.1,16,1,1,0.954
32,0.1,16,1,1,0.961
33,0.1,16,1,1,0.965
34,0.1,16,1,1,0.968
35,0.1,16,1,1,0.973
36,0.1,16,1,1,0.976
37,0.1,16,1,1,0.977
38,0.1,16,1,1,0.978
39,0.1,16,1,1,0.981
40,0.1,16,1,1,0.984
41,0.1,16,1,1,0.985
42,0.1,16,1,1,0.986
43,0.1,16,1,1,0.988
44,0.1,16,1,1,0.989
45,0.1,16,1,1,0.99
46,0.1,16,1,1,0.994
47,0.1,16,1,1,0.995
48,0.1,16,1,1,0.995
49,0.1,16,1,1,0.995
50,0.1,16,1,1,0.995
51,0.1,16,1,1,0.996
52,0.1,16,1,1,0.997
53,0.1,16,1,1,0.998
54,0.1,16,1,1,0.998
55,0.1,16,1,1,0.998
56,0.1,16,1,1,0.998
57,0.1,16,1,1,0.998
58,0.1,16,1,1,0.998
59,0.1,16,1,1,0.998
60,0.1,16,1,1,0.998
61,0.1,16,1,1,0.998
62,0.1,16,1,1,0.998
63,0.1,16,1,1,0.998
