trial,p,M,C,nguesses,prob
1,0.1,8,1,1,0
2,0.1,8,1,1,0.1
3,0.1,8,1,1,0.168
4,0.1,8,1,1,0.252
5,0.1,8,1,1,0.318
6,0.1,8,1,1,0.385
7,0.1,8,1,1,0.454
8,0.1,8,1,1,0.506
9,0.1,8,1,1,0.552
10,0.1,8,1,1,0.5940000000000001
11,0.1,8,1,1,0.633
12,0.1,8,1,1,0.673
13,0.1,8,1,1,0.7110000000000001
14,0.1,8,1,1,0.746
15,0.1,8,1,1,0.775
16,0.1,8,1,1,0.798
17,0.1,8,1,1,0.8130000000000001
18,0.1,8,1,1,0.8330000000000001
19,0.1,8,1,1,0.851
20,0.1,8,1,1,0.867
21,0.1,8,1,1,0.877
22,0.1,8,1,1,0.89
23,0.1,8,1,1,0.901
24,0.1,8,1,1,0.91
25,0.1,8,1,1,0.921
26,0.1,8,1,1,0.932
27,0.1,8,1,1,0.9410000000000001
28,0.1,8,1,1,0.9450000000000001
29,0.1,8,1,1,0.9520000000000001
30,0.1,8,1,1,0.9550000000000001
31,0.1,8,1,1,0.9560000000000001
32,0.1,8,1,1,0.9590000000000001
33,0.1,8,1,1,0.9650000000000001
34,0.1,8,1,1,0.9680000000000001
35,0.1,8,1,1,0.973
36,0.1,8,1,1,0.975
37,0.1,8,1,1,0.977
38,0.1,8,1,1,0.979
39,0.1,8,1,1,0.98
40,0.1,8,1,1,0.985
41,0.1,8,1,1,0.987
42,0.1,8,1,1,0.99
43,0.1,8,1,1,0.99
44,0.1,8,1,1,0.99
45,0.1,8,1,1,0.99
46,0.1,8,1,1,0.992
47,0.1,8,1,1,0.993
48,0.1,8,1,1,0.994
49,0.1,8,1,1,0.995
50,0.1,8,1,1,0.996
51,0.1,8,1,1,0.997
52,0.1,8,1,1,0.998
53,0.1,8,1,1,0.998
54,0.1,8,1,1,0.998
55,0.1,8,1,1,0.998
56,0.1,8,1,1,0.998
57,0.1,8,1,1,0.998
58,0.1,8,1,1,0.998
59,0.1,8,1,1,0.998
60,0.1,8,1,1,0.999
61,0.1,8,1,1,0.999
62,0.1,8,1,1,0.999
63,0.1,8,1,1,0.999
64,0.1,8,1,1,0.999
65,0.1,8,1,1,0.999
66,0.1,8,1,1,1
67,0.1,8,1,1,1
68,0.1,8,1,1,1
69,0.1,8,1,1,1
70,0.1,8,1,1,1
71,0.1,8,1,1,1
72,0.1,8,1,1,1
73,0.1,8,1,1,1
74,0.1,8,1,1,1
75,0.1,8,1,1,1
76,0.1,8,1,1,1
77,0.1,8,1,1,1
78,0.1,8,1,1,1
79,0.1,8,1,1,1
80,0.1,8,1,1,1
81,0.1,8,1,1,1
82,0.1,8,1,1,1
83,0.1,8,1,1,1
84,0.1,8,1,1,1
85,0.1,8,1,1,1
86,0.1,8,1,1,1
87,0.1,8,1,1,1
88,0.1,8,1,1,1
89,0.1,8,1,1,1
90,0.1,8,1,1,1
91,0.1,8,1,1,1
92,0.1,8,1,1,1
93,0.1,8,1,1,1
94,0.1,8,1,1,1
95,0.1,8,1,1,1
96,0.1,8,1,1,1
97,0.1,8,1,1,1
98,0.1,8,1,1,1
99,0.1,8,1,1,1
100,0.1,8,1,1,1
1,0.2,8,1,1,0
2,0.2,8,1,1,0.213
3,0.2,8,1,1,0.383
4,0.2,8,1,1,0.495
5,0.2,8,1,1,0.593
6,0.2,8,1,1,0.683
7,0.2,8,1,1,0.743
8,0.2,8,1,1,0.802
9,0.2,8,1,1,0.847
10,0.2,8,1,1,0.874
11,0.2,8,1,1,0.903
12,0.2,8,1,1,0.918
13,0.2,8,1,1,0.936
14,0.2,8,1,1,0.948
15,0.2,8,1,1,0.957
16,0.2,8,1,1,0.962
17,0.2,8,1,1,0.967
18,0.2,8,1,1,0.977
19,0.2,8,1,1,0.983
20,0.2,8,1,1,0.986
21,0.2,8,1,1,0.988
22,0.2,8,1,1,0.992
23,0.2,8,1,1,0.993
24,0.2,8,1,1,0.995
25,0.2,8,1,1,0.996
26,0.2,8,1,1,0.996
27,0.2,8,1,1,0.996
28,0.2,8,1,1,0.996
29,0.2,8,1,1,0.997
30,0.2,8,1,1,0.997
31,0.2,8,1,1,0.998
32,0.2,8,1,1,0.998
33,0.2,8,1,1,0.998
34,0.2,8,1,1,1
35,0.2,8,1,1,1
36,0.2,8,1,1,1
37,0.2,8,1,1,1
38,0.2,8,1,1,1
39,0.2,8,1,1,1
40,0.2,8,1,1,1
41,0.2,8,1,1,1
42,0.2,8,1,1,1
43,0.2,8,1,1,1
44,0.2,8,1,1,1
45,0.2,8,1,1,1
46,0.2,8,1,1,1
47,0.2,8,1,1,1
48,0.2,8,1,1,1
49,0.2,8,1,1,1
50,0.2,8,1,1,1
51,0.2,8,1,1,1
52,0.2,8,1,1,1
53,0.2,8,1,1,1
54,0.2,8,1,1,1
55,0.2,8,1,1,1
56,0.2,8,1,1,1
57,0.2,8,1,1,1
58,0.2,8,1,1,1
59,0.2,8,1,1,1
60,0.2,8,1,1,1
61,0.2,8,1,1,1
62,0.2,8,1,1,1
63,0.2,8,1,1,1
64,0.2,8,1,1,1
65,0.2,8,1,1,1
66,0.2,8,1,1,1
67,0.2,8,1,1,1
68,0.2,8,1,1,1
69,0.2,8,1,1,1
70,0.2,8,1,1,1
71,0.2,8,1,1,1
72,0.2,8,1,1,1
73,0.2,8,1,1,1
74,0.2,8,1,1,1
75,0.2,8,1,1,1
76,0.2,8,1,1,1
77,0.2,8,1,1,1
78,0.2,8,1,1,1
79,0.2,8,1,1,1
80,0.2,8,1,1,1
81,0.2,8,1,1,1
82,0.2,8,1,1,1
83,0.2,8,1,1,1
84,0.2,8,1,1,1
85,0.2,8,1,1,1
86,0.2,8,1,1,1
87,0.2,8,1,1,1
88,0.2,8,1,1,1
89,0.2,8,1,1,1
90,0.2,8,1,1,1
91,0.2,8,1,1,1
92,0.2,8,1,1,1
93,0.2,8,1,1,1
94,0.2,8,1,1,1
95,0.2,8,1,1,1
96,0.2,8,1,1,1
97,0.2,8,1,1,1
98,0.2,8,1,1,1
99,0.2,8,1,1,1
100,0.2,8,1,1,1
1,0.3,8,1,1,0
2,0.3,8,1,1,0.304
3,0.3,8,1,1,0.499
4,0.3,8,1,1,0.647
5,0.3,8,1,1,0.749
6,0.3,8,1,1,0.816
7,0.3,8,1,1,0.878
8,0.3,8,1,1,0.92
9,0.3,8,1,1,0.939
10,0.3,8,1,1,0.964
11,0.3,8,1,1,0.983
12,0.3,8,1,1,0.99
13,0.3,8,1,1,0.993
14,0.3,8,1,1,0.996
15,0.3,8,1,1,0.997
16,0.3,8,1,1,0.998
17,0.3,8,1,1,0.998
18,0.3,8,1,1,1
19,0.3,8,1,1,1
20,0.3,8,1,1,1
21,0.3,8,1,1,1
22,0.3,8,1,1,1
23,0.3,8,1,1,1
24,0.3,8,1,1,1
25,0.3,8,1,1,1
26,0.3,8,1,1,1
27,0.3,8,1,1,1
28,0.3,8,1,1,1
29,0.3,8,1,1,1
30,0.3,8,1,1,1
31,0.3,8,1,1,1
32,0.3,8,1,1,1
33,0.3,8,1,1,1
34,0.3,8,1,1,1
35,0.3,8,1,1,1
36,0.3,8,1,1,1
37,0.3,8,1,1,1
38,0.3,8,1,1,1
39,0.3,8,1,1,1
40,0.3,8,1,1,1
41,0.3,8,1,1,1
42,0.3,8,1,1,1
43,0.3,8,1,1,1
44,0.3,8,1,1,1
45,0.3,8,1,1,1
46,0.3,8,1,1,1
47,0.3,8,1,1,1
48,0.3,8,1,1,1
49,0.3,8,1,1,1
50,0.3,8,1,1,1
51,0.3,8,1,1,1
52,0.3,8,1,1,1
53,0.3,8,1,1,1
54,0.3,8,1,1,1
55,0.3,8,1,1,1
56,0.3,8,1,1,1
57,0.3,8,1,1,1
58,0.3,8,1,1,1
59,0.3,8,1,1,1
60,0.3,8,1,1,1
61,0.3,8,1,1,1
62,0.3,8,1,1,1
63,0.3,8,1,1,1
64,0.3,8,1,1,1
65,0.3,8,1,1,1
66,0.3,8,1,1,1
67,0.3,8,1,1,1
68,0.3,8,1,1,1
69,0.3,8,1,1,1
70,0.3,8,1,1,1
71,0.3,8,1,1,1
72,0.3,8,1,1,1
73,0.3,8,1,1,1
74,0.3,8,1,1,1
75,0.3,8,1,1,1
76,0.3,8,1,1,1
77,0.3,8,1,1,1
78,0.3,8,1,1,1
79,0.3,8,1,1,1
80,0.3,8,1,1,1
81,0.3,8,1,1,1
82,0.3,8,1,1,1
83,0.3,8,1,1,1
84,0.3,8,1,1,1
85,0.3,8,1,1,1
86,0.3,8,1,1,1
87,0.3,8,1,1,1
88,0.3,8,1,1,1
89,0.3,8,1,1,1
90,0.3,8,1,1,1
91,0.3,8,1,1,1
92,0.3,8,1,1,1
93,0.3,8,1,1,1
94,0.3,8,1,1,1
95,0.3,8,1,1,1
96,0.3,8,1,1,1
97,0.3,8,1,1,1
98,0.3,8,1,1,1
99,0.3,8,1,1,1
100,0.3,8,1,1,1
1,0.4,8,1,1,0
2,0.4,8,1,1,0.403
3,0.4,8,1,1,0.65
4,0.4,8,1,1,0.794
5,0.4,8,1,1,0.877
6,0.4,8,1,1,0.926
7,0.4,8,1,1,0.964
8,0.4,8,1,1,0.984
9,0.4,8,1,1,0.991
10,0.4,8,1,1,0.995
11,0.4,8,1,1,0.996
12,0.4,8,1,1,0.997
13,0.4,8,1,1,0.998
14,0.4,8,1,1,0.999
15,0.4,8,1,1,1
16,0.4,8,1,1,1
17,0.4,8,1,1,1
18,0.4,8,1,1,1
19,0.4,8,1,1,1
20,0.4,8,1,1,1
21,0.4,8,1,1,1
22,0.4,8,1,1,1
23,0.4,8,1,1,1
24,0.4,8,1,1,1
25,0.4,8,1,1,1
26,0.4,8,1,1,1
27,0.4,8,1,1,1
28,0.4,8,1,1,1
29,0.4,8,1,1,1
30,0.4,8,1,1,1
31,0.4,8,1,1,1
32,0.4,8,1,1,1
33,0.4,8,1,1,1
34,0.4,8,1,1,1
35,0.4,8,1,1,1
36,0.4,8,1,1,1
37,0.4,8,1,1,1
38,0.4,8,1,1,1
39,0.4,8,1,1,1
40,0.4,8,1,1,1
41,0.4,8,1,1,1
42,0.4,8,1,1,1
43,0.4,8,1,1,1
44,0.4,8,1,1,1
45,0.4,8,1,1,1
46,0.4,8,1,1,1
47,0.4,8,1,1,1
48,0.4,8,1,1,1
49,0.4,8,1,1,1
50,0.4,8,1,1,1
51,0.4,8,1,1,1
52,0.4,8,1,1,1
53,0.4,8,1,1,1
54,0.4,8,1,1,1
55,0.4,8,1,1,1
56,0.4,8,1,1,1
57,0.4,8,1,1,1
58,0.4,8,1,1,1
59,0.4,8,1,1,1
60,0.4,8,1,1,1
61,0.4,8,1,1,1
62,0.4,8,1,1,1
63,0.4,8,1,1,1
64,0.4,8,1,1,1
65,0.4,8,1,1,1
66,0.4,8,1,1,1
67,0.4,8,1,1,1
68,0.4,8,1,1,1
69,0.4,8,1,1,1
70,0.4,8,1,1,1
71,0.4,8,1,1,1
72,0.4,8,1,1,1
73,0.4,8,1,1,1
74,0.4,8,1,1,1
75,0.4,8,1,1,1
76,0.4,8,1,1,1
77,0.4,8,1,1,1
78,0.4,8,1,1,1
79,0.4,8,1,1,1
80,0.4,8,1,1,1
81,0.4,8,1,1,1
82,0.4,8,1,1,1
83,0.4,8,1,1,1
84,0.4,8,1,1,1
85,0.4,8,1,1,1
86,0.4,8,1,1,1
87,0.4,8,1,1,1
88,0.4,8,1,1,1
89,0.4,8,1,1,1
90,0.4,8,1,1,1
91,0.4,8,1,1,1
92,0.4,8,1,1,1
93,0.4,8,1,1,1
94,0.4,8,1,1,1
95,0.4,8,1,1,1
96,0.4,8,1,1,1
97,0.4,8,1,1,1
98,0.4,8,1,1,1
99,0.4,8,1,1,1
100,0.4,8,1,1,1
1,0.5,8,1,1,0
2,0.5,8,1,1,0.502
3,0.5,8,1,1,0.749
4,0.5,8,1,1,0.894
5,0.5,8,1,1,0.943
6,0.5,8,1,1,0.967
7,0.5,8,1,1,0.981
8,0.5,8,1,1,0.99
9,0.5,8,1,1,0.995
10,0.5,8,1,1,0.998
11,0.5,8,1,1,1
12,0.5,8,1,1,1
13,0.5,8,1,1,1
14,0.5,8,1,1,1
15,0.5,8,1,1,1
16,0.5,8,1,1,1
17,0.5,8,1,1,1
18,0.5,8,1,1,1
19,0.5,8,1,1,1
20,0.5,8,1,1,1
21,0.5,8,1,1,1
22,0.5,8,1,1,1
23,0.5,8,1,1,1
24,0.5,8,1,1,1
25,0.5,8,1,1,1
26,0.5,8,1,1,1
27,0.5,8,1,1,1
28,0.5,8,1,1,1
29,0.5,8,1,1,1
30,0.5,8,1,1,1
31,0.5,8,1,1,1
32,0.5,8,1,1,1
33,0.5,8,1,1,1
34,0.5,8,1,1,1
35,0.5,8,1,1,1
36,0.5,8,1,1,1
37,0.5,8,1,1,1
38,0.5,8,1,1,1
39,0.5,8,1,1,1
40,0.5,8,1,1,1
41,0.5,8,1,1,1
42,0.5,8,1,1,1
43,0.5,8,1,1,1
44,0.5,8,1,1,1
45,0.5,8,1,1,1
46,0.5,8,1,1,1
47,0.5,8,1,1,1
48,0.5,8,1,1,1
49,0.5,8,1,1,1
50,0.5,8,1,1,1
51,0.5,8,1,1,1
52,0.5,8,1,1,1
